,0
0,0.29378731435511246
1,0.3339303739462713
2,0.04678470453354158
3,0.39995847796524553
4,0.16043489132277186
5,0.33419191471503257
6,0.2773712361968797
7,0.38909989229159186
8,0.07210772856993723
9,0.3960687591997866
10,0.38978950689911
11,0.34572953306515386
12,0.07577386390601282
13,0.37323416392339237
14,0.39265874934320594
15,0.2738905693254407
16,0.35199502647070663
17,0.37247581584354955
18,0.3447591102096341
19,0.35476199504616734
20,0.20451720736755077
21,0.3888947962322181
22,0.38226135862069854
23,0.1792748407368245
24,0.3939347623882037
25,0.39801507655770707
26,0.259419126748302
27,0.39012957648948804
28,0.3987192311567497
29,0.3699210344980267
30,0.40111973373694454
31,0.394339150305263
32,0.3781935395770677
33,0.40126524316037493
34,0.1673956134426401
35,0.40149867592019467
36,0.38707219772308465
37,0.40111327870107766
38,0.24957380753540154
39,0.39669009905677366
40,0.40071487182480764
41,0.3445548201444405
42,0.38165706046354275
43,0.4073861612635071
44,0.3874978593904286
45,0.4010875167135651
46,0.3982133729003002
47,0.39908755444173294
48,0.40614264908876685
49,0.396862287048889
50,0.3936233900615334
51,0.3933057953763496
52,0.4069405155711704
53,0.4002799973991794
54,0.40769672800185824
55,0.3718292418877617
56,0.40571925659124614
57,0.2218843911307828
58,0.40276518532600697
59,0.3834636992439329
60,0.40756997949588525
61,0.41183329701002225
62,0.41171732339369244
63,0.39996687831788813
64,0.41268359584090747
65,0.4034129958313232
66,0.4055459041859529
67,0.39579405501197984
68,0.4084799336046569
69,0.3709327125854198
70,0.40885511777637634
71,0.21825027633681504
72,0.41029447446530354
73,0.40494251370715423
74,0.41372362747978253
75,0.414895123098999
76,0.41479060840963206
77,0.09498093869519034
78,0.40102026372197236
79,0.3934709984139913
80,0.4074567212850948
81,0.18042184916489745
82,0.4021988290310756
83,0.41270266481897777
84,0.37770137954704386
85,0.3983412007783296
86,0.3956511789547531
87,0.40876111551486277
88,0.36161440146803275
89,0.40923785979467964
90,0.402133256040884
91,0.40669643066132377
92,0.407565233231157
93,0.38920830369605774
94,0.4038253860028352
95,0.3867936918616186
96,0.4049305613296643
97,0.40212038422603613
98,0.4158445953916091
99,0.4077117849395854
100,0.3961232425721377
101,0.3713433475338783
102,0.4104091642477497
103,0.40562441277039124
104,0.3969966733229017
105,0.39606162299941544
106,0.42516877861648766
107,0.3990981955901819
108,0.40499073492242654
109,0.39796421389291026
110,0.39000810230674654
111,0.395194681539968
112,0.4139130641177922
113,0.3530157728529065
114,0.4084670434144972
