,0
0,0.1872
1,0.1981
2,0.0164
3,0.2709
4,0.073
5,0.1849
6,0.1889
7,0.2627
8,0.0403
9,0.2671
10,0.2631
11,0.1904
12,0.0476
13,0.247
14,0.2595
15,0.1415
16,0.2539
17,0.244
18,0.2101
19,0.2447
20,0.1325
21,0.2698
22,0.2652
23,0.118
24,0.256
25,0.2662
26,0.1451
27,0.2675
28,0.2669
29,0.2363
30,0.2692
31,0.2713
32,0.2629
33,0.2677
34,0.1119
35,0.2635
36,0.2562
37,0.2654
38,0.1742
39,0.2677
40,0.2681
41,0.2063
42,0.2648
43,0.2721
44,0.2486
45,0.2681
46,0.2675
47,0.2706
48,0.27
49,0.2642
50,0.2491
51,0.2652
52,0.2734
53,0.2667
54,0.2706
55,0.2572
56,0.274
57,0.101
58,0.2711
59,0.2505
60,0.2704
61,0.2696
62,0.2771
63,0.2761
64,0.2776
65,0.2784
66,0.2765
67,0.2656
68,0.2753
69,0.2436
70,0.2721
71,0.1356
72,0.2736
73,0.2648
74,0.2818
75,0.2732
76,0.2799
77,0.0509
78,0.269
79,0.2704
80,0.2776
81,0.1067
82,0.27
83,0.2719
84,0.2589
85,0.2694
86,0.2734
87,0.2725
88,0.2423
89,0.2755
90,0.2836
91,0.2759
92,0.2771
93,0.2524
94,0.2813
95,0.2646
96,0.2715
97,0.2769
98,0.2746
99,0.2723
100,0.2711
101,0.2294
102,0.2715
103,0.2719
104,0.2704
105,0.2556
106,0.2839
107,0.2727
108,0.2759
109,0.2627
110,0.2606
111,0.2652
112,0.2732
113,0.2287
114,0.2755
115,0.2696
116,0.2774
117,0.2029
118,0.2771
119,0.2715
120,0.287
121,0.2744
122,0.2805
123,0.2799
124,0.2736
125,0.2319
126,0.2836
127,0.2667
128,0.2832
129,0.274
130,0.2501
131,0.2711
132,0.2824
133,0.2709
134,0.2809
135,0.2757
136,0.2753
137,0.2767
138,0.274
139,0.2706
140,0.2805
141,0.2717
142,0.2843
143,0.2717
144,0.2788
145,0.1254
146,0.2717
147,0.2715
148,0.2843
149,0.1971
150,0.2767
151,0.2847
152,0.2828
153,0.2776
154,0.2843
155,0.2763
156,0.2816
157,0.0543
158,0.2786
159,0.2709
160,0.2801
161,0.0732
162,0.2746
163,0.2784
164,0.2713
165,0.1507
