,0
463,0.2503
464,0.2551
465,0.2513
466,0.2498
467,0.2513
468,0.2505
469,0.2499
470,0.2495
471,0.2545
472,0.2477
473,0.2514
474,0.2517
475,0.2519
476,0.2473
477,0.252
478,0.254
479,0.2495
480,0.2506
481,0.2503
482,0.2503
483,0.2523
484,0.2498
485,0.2569
486,0.2453
487,0.2472
488,0.2523
489,0.2558
490,0.2407
491,0.2464
492,0.2535
493,0.2578
494,0.2481
495,0.2481
496,0.2487
497,0.2501
498,0.2522
499,0.2466
500,0.2507
501,0.2495
502,0.2506
503,0.2525
504,0.2491
505,0.2459
506,0.2513
507,0.2552
508,0.2516
509,0.2541
510,0.2532
511,0.2515
512,0.2504
513,0.2543
514,0.2486
515,0.2549
516,0.2495
517,0.2449
518,0.2487
519,0.2542
520,0.2543
521,0.2474
522,0.2498
523,0.2527
524,0.2542
525,0.2502
526,0.249
527,0.2504
528,0.2491
529,0.2545
530,0.248
531,0.2542
532,0.2515
533,0.2495
534,0.2519
535,0.2572
536,0.2552
537,0.2513
538,0.2504
539,0.2523
540,0.255
541,0.249
542,0.2507
543,0.2499
544,0.2499
545,0.2507
546,0.2496
547,0.2525
548,0.247
549,0.2537
550,0.2495
551,0.2514
552,0.2558
553,0.2471
554,0.2583
555,0.2491
556,0.2508
557,0.2536
558,0.2502
559,0.2505
560,0.2499
561,0.2552
562,0.2504
563,0.2507
564,0.2507
565,0.251
566,0.2476
567,0.2493
568,0.2481
569,0.2508
570,0.2488
571,0.2508
572,0.2496
573,0.2497
574,0.2528
575,0.2499
576,0.249
577,0.2505
578,0.2475
579,0.2578
580,0.2486
581,0.2508
582,0.2531
583,0.2462
584,0.2461
585,0.2567
586,0.2538
587,0.2475
588,0.2495
589,0.2546
590,0.2532
591,0.2488
592,0.2463
593,0.255
594,0.2541
595,0.2492
596,0.2537
597,0.2479
598,0.254
599,0.2517
600,0.2485
601,0.2525
602,0.2499
603,0.254
604,0.2487
605,0.2516
606,0.2494
607,0.2493
608,0.2527
609,0.2491
610,0.2528
611,0.2548
612,0.2493
613,0.2555
614,0.2534
615,0.2451
616,0.2495
617,0.2568
618,0.254
619,0.252
620,0.2469
621,0.2539
622,0.2501
623,0.2509
624,0.2503
625,0.2493
626,0.2514
627,0.2472
628,0.2503
629,0.2486
630,0.2465
631,0.2532
632,0.249
633,0.2506
634,0.2519
635,0.2474
636,0.2495
637,0.2515
638,0.2463
639,0.2508
640,0.2517
641,0.2425
642,0.2491
643,0.2503
644,0.2528
645,0.2509
646,0.2484
647,0.2495
648,0.2513
649,0.2501
650,0.2506
651,0.249
652,0.2503
653,0.2486
654,0.2486
655,0.2484
656,0.2476
657,0.2558
658,0.2464
659,0.2527
660,0.2506
661,0.2476
662,0.2519
663,0.245
664,0.2528
665,0.2561
666,0.2486
667,0.2484
668,0.2536
669,0.252
670,0.2492
671,0.2523
672,0.2499
673,0.2495
674,0.2503
675,0.2512
676,0.2539
677,0.2462
678,0.2532
679,0.2512
680,0.2452
681,0.2583
682,0.2464
